id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
8d123ac6-f06e-47e7-bf1c-28f60ee4ab56,JURO MARTINOVIĆ,JURO MARTINOVIĆ,,,,MOST,most,area/6th,6th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44465,
1f5a1b6d-c23c-4b3d-bb9d-986b5d49bf2e,LADISLAV ILČIĆ,LADISLAV ILČIĆ,,,,HRAST,hrast,area/3rd,3rd,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44442,
030b7ded-919b-4d97-86e1-06cdc92346cf,LEON ŽULJ,LEON ŽULJ,,,,HDZ,hdz,area/4th,4th,Sabor,8,2016-02-05,,http://www.sabor.hr/lgs.axd?t=16&id=44772,
cd140416-f8a4-4e89-bd2f-8107ee5d1ef1,LJUBICA AMBRUŠEC,LJUBICA AMBRUŠEC,,,,MOST,most,area/2nd,2nd,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44414,
6e03c27c-4793-4abe-a0c7-77c6a0a574df,LJUBICA MAKSIMČUK,LJUBICA MAKSIMČUK,,,,HDZ,hdz,area/5th,5th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44463,
87d42ce4-896d-4e6b-a62b-20aff62efe58,LUCIAN VUKELIĆ,LUCIAN VUKELIĆ,,,,HDZ,hdz,area/8th,8th,Sabor,8,2016-01-22,,http://www.sabor.hr/lgs.axd?t=16&id=44500,
cd9124f1-7154-4e58-9722-47b3946f76b9,MARGARETA MAĐERIĆ,MARGARETA MAĐERIĆ,,,,HDZ,hdz,area/1st,1st,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44461,
d810bc3b-ebb2-41d9-85bf-b724c360fd50,MARIJA BUDIMIR,MARIJA BUDIMIR,,,,HDZ,hdz,area/5th,5th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44421,
50b4f28c-f06e-49fc-8e3c-4c53b06181fd,MARIJA ILIĆ,MARIJA ILIĆ,,,,HSU,hsu,area/5th,5th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44552,
d5f43c78-38fb-4b9b-a33c-d1e596f33c48,MARIJA PUH,MARIJA PUH,,,,HNS,hns,area/3rd,3rd,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44479,
9aae037b-d994-45ba-8a61-0af6f8c65914,MARIJAN KUSTIĆ,MARIJAN KUSTIĆ,,,,HDZ,hdz,area/9th,9th,Sabor,8,2016-02-05,,http://www.sabor.hr/lgs.axd?t=16&id=44557,
3212e57d-0f4c-4e34-a6b0-f1cbe3d58e64,MARIO HABEK,MARIO HABEK,,,,SDP,sdp,area/3rd,3rd,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44437,
efd075da-68cb-430e-8065-0c6e73ed64c9,MARIO KLOBUČIĆ,MARIO KLOBUČIĆ,,,,MOST,most,area/10th,10th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44449,
bc87110a-4d1d-457b-9423-fa267ec443fd,MARKO SLADOLJEV,MARKO SLADOLJEV,,,,MOST,most,area/7th,7th,Sabor,8,2016-01-22,,http://www.sabor.hr/lgs.axd?t=16&id=44488,
ab2a4aef-bede-49cb-a9aa-7ab5d0d7ac04,MARO KRISTIĆ,MARO KRISTIĆ,,,,MOST,most,area/10th,10th,Sabor,8,2016-01-22,,http://www.sabor.hr/lgs.axd?t=16&id=44453,
8250a692-c2ae-4e79-8bca-cea7abdd84f1,MIHAEL ZMAJLOVIĆ,MIHAEL ZMAJLOVIĆ,,,,SDP,sdp,area/7th,7th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44659,male
ba6767cc-61cd-415c-bbd5-aeaea4bee0f7,MILANKA OPAČIĆ,MILANKA OPAČIĆ,,,,SDP,sdp,area/7th,7th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44649,female
43575869-30ad-43e3-b7b8-37c3e01ececa,MILE HORVAT,MILE HORVAT,,,,SDSS,sdss,area/12th,12th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44551,
b39b170e-c1db-4628-8c59-9336c05dac34,MILIVOJ ŠPIKA,MILIVOJ ŠPIKA,,,,BUZ,buz,area/10th,10th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44490,
aca2d900-7f74-4a05-b4ee-22ec14e9b5c8,MILORAD BATINIĆ,MILORAD BATINIĆ,,,,HNS,hns,area/3rd,3rd,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44417,
3f687caa-6cbd-4d94-80f2-1fb8e1d70d81,MILORAD PUPOVAC,MILORAD PUPOVAC,,,,SDSS,sdss,area/12th,12th,Sabor,8,,,,
5edbc7c9-18ad-4839-9452-6f085ec9daa5,MIODRAG DEMO,MIODRAG DEMO,,,,BM 365,bm_365,area/6th,6th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44548,
6bbad636-12cd-42fd-a698-866353a88994,MIRANDO MRSIĆ,MIRANDO MRSIĆ,,,,SDP,sdp,area/6th,6th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44648,male
8da80b30-d5c1-492d-b85d-a6481503a099,MIRKO RAŠKOVIĆ,MIRKO RAŠKOVIĆ,,,,unknown,unknown,area/12th,12th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44567,
3515787c-9928-4efa-a410-f9e7f4799722,MIRO BULJ,MIRO BULJ,,,,MOST,most,area/9th,9th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44422,
ed139b6a-71a7-4e25-9e60-b7aced820b4a,MIRO TOTGERGELI,MIRO TOTGERGELI,,,,HDZ,hdz,area/2nd,2nd,Sabor,8,2016-01-22,,http://www.sabor.hr/lgs.axd?t=16&id=44654,
bca2c10a-0970-4620-83a6-c48de63c89ee,MIROSLAV TUĐMAN,MIROSLAV TUĐMAN,,,,HDZ,hdz,area/2nd,2nd,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44655,
4b2df4eb-ba75-4fae-81cf-98da384ff149,MIROSLAV ŠIMIĆ,MIROSLAV ŠIMIĆ,,,,unknown,unknown,area/4th,4th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44487,
a0b81e79-8031-49e9-b341-22d576bd442d,NADA MURGANIĆ,NADA MURGANIĆ,,,,HDZ,hdz,area/7th,7th,Sabor,8,2016-01-22,,http://www.sabor.hr/lgs.axd?t=16&id=44471,
0c0f25a4-091e-4ea5-ae38-24d20c01f94f,NADA TURINA-ĐURIĆ,NADA TURINA-ĐURIĆ,,,,HNS,hns,area/7th,7th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44497,
b5d4c489-7984-4d32-b25e-7a6a86aa2933,NANSI TIRELI,NANSI TIRELI,,,,Labourists,labourists,area/8th,8th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44573,
2f9d63f4-d1ed-429b-8c08-de836afd9d29,NENAD STAZIĆ,NENAD STAZIĆ,,,,SDP,sdp,area/7th,7th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44491,
d407055e-beea-4487-a649-021d4f8b4ec2,ORSAT MILJENIĆ,ORSAT MILJENIĆ,,,,SDP,sdp,area/1st,1st,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44646,
89593a34-efd4-4e79-9545-f3d494a9b244,PERO ĆORIĆ,PERO ĆORIĆ,,,,HSP AS,hsp_as,area/5th,5th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44425,
8c96937d-883b-486c-af7f-c240f4e90339,PERO ĆOSIĆ,PERO ĆOSIĆ,,,,HDZ,hdz,area/5th,5th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44426,
f67d7ef1-8f66-464f-b9f0-18d1b9c2932a,PETAR ŠKORIĆ,PETAR ŠKORIĆ,,,,HDZ,hdz,area/10th,10th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44571,
fcc19e62-ce5c-40e8-8910-0df525180456,PEĐA GRBIN,PEĐA GRBIN,,,,SDP,sdp,area/8th,8th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44436,
b951ca36-8dd6-4ce7-a181-9be4c37a2a4b,PREDRAG MATIĆ,PREDRAG MATIĆ,,,,SDP,sdp,area/5th,5th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44644,
0f76190b-487d-4c20-95e9-780dcca88542,RADIMIR ČAČIĆ,RADIMIR ČAČIĆ,,,,Reformists,reformists,area/3rd,3rd,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44691,male
705674d6-9d54-414c-8c56-b5e78b8d68ab,RAJKO OSTOJIĆ,RAJKO OSTOJIĆ,,,,SDP,sdp,area/6th,6th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=40372,
1bc4dcab-5f24-4d61-a752-9489254a547d,RANKO OSTOJIĆ,RANKO OSTOJIĆ,,,,SDP,sdp,area/9th,9th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44650,
430fc1a7-6388-40ed-a297-aa87f9045c67,ROBERT PODOLNJAK,ROBERT PODOLNJAK,,,,MOST,most,area/3rd,3rd,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44652,
a7fef2ec-c493-4d6b-9c21-a1297d5afd47,RUŽICA VUKOVAC,RUŽICA VUKOVAC,,,,MOST,most,area/5th,5th,Sabor,8,2016-01-22,,http://www.sabor.hr/lgs.axd?t=16&id=44501,
7d939bb5-fd6e-4ddf-ae6a-31683f6c715e,SABINA GLASOVAC,SABINA GLASOVAC,,,,SDP,sdp,area/9th,9th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44637,
baf259af-5217-44e3-a362-d5fe15c9edf5,SANDRA KRPAN,SANDRA KRPAN,,,,SDP,sdp,area/8th,8th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44455,
b48d06c4-ed06-4535-9bf4-3b1f8590c43e,SANDRA PERKOVIĆ,SANDRA PERKOVIĆ,,,,BM 365,bm_365,area/2nd,2nd,Sabor,8,,,,
f34a700e-c25e-49e0-a3bb-72d139a230f4,SANJA PUTICA,SANJA PUTICA,,,,HDZ,hdz,area/10th,10th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44566,
48cdefef-7901-447c-b6d0-fcda78ae6347,SILVANO HRELJA,SILVANO HRELJA,,,,HSU,hsu,area/8th,8th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44440,
21c3d8db-26d5-4430-8815-fe027112fb96,SINIŠA HAJDAŠ DONČIĆ,SINIŠA HAJDAŠ DONČIĆ,,,,SDP,sdp,area/3rd,3rd,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44639,
05772656-4704-445c-b8ae-e5949824f1d2,SINIŠA VARGA,SINIŠA VARGA,,,,SDP,sdp,area/1st,1st,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44656,
0dfb8cbd-f1af-4ec9-94e7-fa94cc0bec21,STEVO CULEJ,STEVO CULEJ,,,,HDZ,hdz,area/5th,5th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44427,
56356b3d-2393-4d07-8097-60e8720cb23e,STIPE PETRINA,STIPE PETRINA,,,,NLSP,nlsp,area/9th,9th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44564,
b3700975-124a-477c-89f9-6711f4e05c97,STJEPAN PINTARIĆ,STJEPAN PINTARIĆ,,,,HDZ,hdz,area/4th,4th,Sabor,8,2016-01-22,,http://www.sabor.hr/lgs.axd?t=16&id=44651,
24aae48c-e3f5-40f0-81c9-48545f4728b9,TANJA VRBAT GRGIĆ,TANJA VRBAT GRGIĆ,,,,SDP,sdp,area/8th,8th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44575,
f6bdf660-b355-4516-8ae0-d59b37079e56,TIHOMIR JAKOVINA,TIHOMIR JAKOVINA,,,,SDP,sdp,area/5th,5th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44770,male
5b7f9e64-c42d-4cab-818e-900b93b7b555,TOMISLAV KONČEVSKI,TOMISLAV KONČEVSKI,,,,Labourists,labourists,area/3rd,3rd,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44451,
b6d5b126-406b-4294-a607-29c720b71015,TOMISLAV SAUCHA,TOMISLAV SAUCHA,,,,SDP,sdp,area/7th,7th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44653,
649b386a-ad2b-41a4-9951-ad45c9c2a3ab,TOMISLAV ČULJAK,TOMISLAV ČULJAK,,,,HDZ,hdz,area/5th,5th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44428,
6cf17a02-2dea-4469-b19e-e74fa3e4203d,TOMISLAV ŽAGAR,TOMISLAV ŽAGAR,,,,SDP,sdp,area/4th,4th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44658,
8fbe0548-ef12-4260-8dec-83d68ec42752,TULIO DEMETLIKA,TULIO DEMETLIKA,,,,IDS,ids,area/8th,8th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44430,
f6d12306-25c8-4119-9193-10e4b0de7f58,VEDRAN BABIĆ,VEDRAN BABIĆ,,,,SDP,sdp,area/2nd,2nd,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44544,
209644b9-80f4-42af-82d4-77e5bb693b65,VELJKO KAJTAZI,VELJKO KAJTAZI,,,,Independent,independent,area/12th,12th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44446,
cb579388-b90c-4692-bdf1-3d1b01291ff4,VESNA PUSIĆ,VESNA PUSIĆ,,,,HNS,hns,area/1st,1st,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44565,female
8373a3d9-7032-4d79-af1b-0f1daf8b3974,VLADIMIR BILEK,VLADIMIR BILEK,,,,Independent,independent,area/12th,12th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44545,
10e9baca-6d6d-48ad-9d8e-e394023fcb40,ZDRAVKO RONKO,ZDRAVKO RONKO,,,,SDP,sdp,area/5th,5th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44482,
792ecafa-2061-45d8-975b-50534c73c185,ZORAN MILANOVIĆ,ZORAN MILANOVIĆ,,,,SDP,sdp,area/1st,1st,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44645,male
5f79a14d-1504-426a-9361-0aadb9224b35,ZORAN VASIĆ,ZORAN VASIĆ,,,,SDP,sdp,area/6th,6th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44499,
25d832a2-66b3-400f-90e4-100554522c30,ŠANDOR JUHAS,ŠANDOR JUHAS,,,,Independent,independent,area/12th,12th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44640,
d32d7c2d-bb9a-4fb9-bc87-ae36c8c8fb80,ŠTEFANIJA DAMJANOVIĆ,ŠTEFANIJA DAMJANOVIĆ,,,,HNS,hns,area/3rd,3rd,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44429,
a1629dea-e112-47c2-8596-cc9fc0b10b00,ŽARKO TUŠEK,ŽARKO TUŠEK,,,,HDZ,hdz,area/3rd,3rd,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44498,
37655e25-ad15-4106-8ecc-b0a2b3e08395,ŽELJKO DILBER,ŽELJKO DILBER,,,,HDZ,hdz,area/7th,7th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44431,
c0451d98-f730-4758-8dca-4be9e8fc750f,ŽELJKO FIOLIĆ,ŽELJKO FIOLIĆ,,,,HDZ,hdz,area/7th,7th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44433,
fa1f69f2-329e-450a-952d-b648cb8bd1c6,ŽELJKO GLASNOVIĆ,ŽELJKO GLASNOVIĆ,,,,HDZ,hdz,area/11th,11th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44435,
30050966-a733-443a-a20d-bddb83523f47,ŽELJKO JOVANOVIĆ,ŽELJKO JOVANOVIĆ,,,,SDP,sdp,area/8th,8th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44445,
5848201d-6b21-468d-be1b-f1ea599c93ea,ŽELJKO REINER,ŽELJKO REINER,,,,HDZ,hdz,area/1st,1st,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44481,
